"","Year","Month","Day","Sampling Site","Depth","Conductivity (mmohs·cm-1)","pH (units)","Alkalinity (mg·L-1 as CaCO3)","Turbidity (NTU)","Color (PT units)","Calcium (mg·L-1)","Magnesium (mg·L-1)","Iron (mg·L-1)","Total Phosphorus (mg·L-1 as P)","Total Filterable Phosphorus (mg·L-1 as P)","Filterable Reactive Phosphorus (mg·L-1 as P)","Total Kjeldahl Nitrogen (mg·L-1 as N)","Ammonia (mg·L-1 as N)","Nitrate + Nitrite (mg·L-1 as N)","Reactive Silicon (mg·L-1 as Si)","Particulate Carbon (mg·L-1 as C)","Total Particulate Phosphorus (mg·L-1 as P)","Total Particulate Nitrogen (mg·L-1 as N)","N:P (atom ratio)"
"91",1995,10,20,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,71.4,NA,NA,NA,NA,NA,NA
"92",1995,10,20,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1995,10,20,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,83.2,NA,NA,NA,NA,NA,NA
"94",1995,10,20,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1995,10,20,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,73.8,NA,NA,NA,NA,NA,NA
"96",1995,10,20,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1995,11,14,"1",1,170,6.1,0.5,2.6,12,2.6,3.2,25,6.4,2.5,1.4,80.8,1.7,62,794,70,NA,NA,"53:1"
"98",1995,11,14,"1",66,200,6.3,7,2.8,11,3.5,3.2,30,2.6,2.1,1.3,54.1,1.7,79.6,914,8,NA,NA,"123:1"
"99",1995,11,14,"2",1,167,6.3,5.8,0.6,12,2.6,1.8,32,4.8,2.5,1.4,119.4,12.2,59.6,782,47,NA,NA,"89:1"
"100",1995,11,14,"2",66,213,6.3,6.5,1.6,11,2.6,4.6,25,2.7,2.5,1.4,55.6,7.5,82.9,897,8,NA,NA,"122:1"
"101",1995,11,14,"3",1,163,6.5,7.4,0.8,14,2.6,3.2,19,3.4,2.4,1.3,56.4,14.6,58.8,782,32,NA,NA,"81:1"
"102",1995,11,14,"3",66,210,6.2,7,1.5,18,3.5,3.9,22,2.6,6.4,5.6,61.1,8.7,82.3,869,8,NA,NA,"132:1"
"103",1994,3,17,"1",1,183,6.4,5,0.4,10,3,3.5,48,3.2,2.9,0.6,53.4,7.6,80,863,43,NA,NA,"99:1"
"104",1994,3,17,"1",66,214,6.3,6,0.3,11,4,3.4,48,2.9,2.4,1.1,47.9,6.5,83.1,851,8,NA,NA,"108:1"
"105",1994,3,17,"2",1,209,6.4,7,0.2,10,4,3.4,40,2.9,2.2,0.9,48.6,6.5,81,821,12,NA,NA,"107:1"
"106",1994,3,17,"2",66,219,6.4,5,0.2,10,4,3.4,21,3.1,1.6,0.4,58,5.4,83.1,791,39,NA,NA,"109:1"
"107",1994,3,17,"3",1,214,6.3,5,0.3,9,4,3.4,44,7.2,1.2,0.4,64.2,4.3,75.8,797,14,NA,NA,"46:1"
"108",1994,3,17,"3",66,217,6.4,5,0.2,9,4,4.1,21,3.1,1.6,0.4,68.9,6,78.9,809,9,NA,NA,"114:1"
"109",1994,4,16,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,42.9,NA,NA,NA,NA,NA,NA
"110",1994,4,16,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",1994,4,16,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,60.6,NA,NA,NA,NA,NA,NA
"112",1994,4,16,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1994,4,16,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,45.2,NA,NA,NA,NA,NA,NA
"114",1994,4,16,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",1994,5,17,"1",1,192,6.4,5,0.3,10,3,3.5,27,2.7,1.3,1.5,46.7,1.7,59.4,809,53,NA,NA,"94:1"
"116",1994,5,17,"1",66,208,6.4,5,0.2,10,3,3.5,29,2.4,1.6,1.8,39,1.7,68.5,809,25,NA,NA,"107:1"
"117",1994,5,17,"2",1,196,6.4,6,0.2,10,3,3.5,12,2.6,2.6,2.1,50.6,1.7,60.5,785,98,NA,NA,"102:1"
"118",1994,5,17,"2",66,211,6.5,6,0.1,8,3,3.5,11,2.3,1.6,1.6,42.9,1.7,67.9,773,14,NA,NA,"115:1"
"119",1994,5,17,"3",1,196,6.4,6,0.3,8,3,3.5,24,2.5,1.9,1.6,42.1,1.7,62.2,785,48,NA,NA,"100:1"
"120",1994,5,17,"3",66,211,6.4,6,0.1,9,3,3.5,15,2.3,1.3,1.1,48.3,1.7,67.9,797,8,NA,NA,"121:1"
"121",1994,6,15,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,76.8,NA,NA,NA,NA,NA,NA
"122",1994,6,15,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1994,6,15,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,87.7,NA,NA,NA,NA,NA,NA
"124",1994,6,15,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1994,6,15,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,77.7,NA,NA,NA,NA,NA,NA
"126",1994,6,15,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1994,7,16,"1",1,163,7.2,6,1.1,6,2.9,3.4,54,10.3,2.6,1.9,118.5,1.7,71.2,142,470,NA,NA,"44:1"
"128",1994,7,16,"1",66,237,6.5,5,0.3,9,3.9,3.4,56,3.7,1.6,1.2,42.1,2.3,4,756,17,NA,NA,"30:1"
